A15.81,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,"Other respiratory tuberculosis without cavitation or unspecified, confirmed bacteriologically and histologically"
A15.9,세균학적 및 조직학적으로 확인된 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A15.90,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified with cavitation, confirmed Confirmed bacteriologically and histologically"
A15.91,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified without cavitation or unspecified, confirmed Confirmed bacteriologically and histologically"
A16,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
A16.0,세균학적 및 조직학적으로 음성인 폐결핵,"Tuberculosis of lung, bacteriologically and histologically negative"
A16.00,세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵,"Tuberculosis of lung with cavitation, bacteriologically and histologically negative"
A16.01,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵,"Tuberculosis of lung without cavitation or unspecified, bacteriologically and histologically negative"
A16.1,세균학적 및 조직학적 검사를 하지 않은 폐결핵,"Tuberculosis of lung, bacteriological and histological examination not done"
A16.10,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 폐결핵,"Tuberculosis of lung with cavitation, bacteriological and histological examination not done"
A16.11,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 폐결핵,"Tuberculosis of lung without cavitation or unspecified, bacteriological and histological examination not done"
A16.2,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A16.20,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵,"Tuberculosis of lung with cavitation, without mention of bacteriological or histological confirmation"
A16.21,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵,"Tuberculosis of lung without cavitation or unspecified, without mention of bacteriological or histological confirmation"
A16.3,세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A16.30,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes with cavitation, without mention of bacteriological or histological confirmation"
A16.31,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes without cavitation or unspecified, without mention of bacteriological or histological confirmation"
A16.4,"세균학적 또는 조직학적 확인에 대한 언급이 없는 후두, 기관 및 기관지 결핵","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A16.40,"세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 후두, 기관 및 기관지 결핵","Tuberculosis of larynx with cavitation, trachea and bronchus, without mention of bacteriological or histologicalconfirmation"
A16.41,"세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 후두, 기관 및 기관지 결핵","Tuberculosis of larynx without cavitation or unspecified, trachea and bronchus, without mention of bacteriological or histologicalconfirmation"
A16.5,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A16.50,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 결핵성 흉막염,"Tuberculous pleurisy with cavitation, without mention of bacteriological or histologicalconfirmation"
A16.51,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염,"Tuberculous pleurisy without cavitation or unspecified, without mention of bacteriological or histologicalconfirmation"
A16.7,세균학적 또는 조직학적 확인에 대한 언급이 없는 일차호흡기결핵,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A16.70,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 일차호흡기결핵,"Primary respiratory tuberculosis with cavitation, without mention of bacteriological or histologicalconfirmation"
A16.71,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 일차호흡기결핵,"Primary respiratory tuberculosis without cavitation or unspecified, without mention of bacteriological or histologicalconfirmation"
A16.8,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A16.80,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 기타 호흡기결핵,"Other respiratory tuberculosis with cavitation, without mention of bacteriological or histologicalconfirmation"
A16.81,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 기타 호흡기결핵,"Other respiratory tuberculosis without cavitation or unspecified, without mention of bacteriological or histologicalconfirmation"
A16.9,세균학적 또는 조직학적 확인에 대한 언급이 없는 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A16.90,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified with cavitation, without mention of bacteriological or histological confirmation"
A16.91,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified without cavitation or unspecified, without mention of bacteriological or histological confirmation"
A17†,신경계통의 결핵,Tuberculosis of nervous system
A17.0†,결핵성 수막염(G01*),Tuberculous meningitis
A17.1†,수막결핵종(G07*),Meningeal tuberculoma
A17.8†,기타 신경계통의 결핵,Other tuberculosis of nervous system
A17.80†,뇌 및 척수의 결핵종(G07*),Tuberculoma of brain and spinal cord
A17.81†,결핵성 수막뇌염(G05.0*),Tuberculous meningoencephalitis
A17.82†,결핵성 신경염,Tuberculous neuritis
A17.88†,기타 신경계통의 결핵,Other tuberculosis of nervous system
A17.9†,신경계통의 상세불명 결핵(G99.8*),"Tuberculosis of nervous system, unspecified"
A18,기타 기관의 결핵,Tuberculosis of other organs
A18.0†,골 및 관절의 결핵,Tuberculosis of bones and joints
A18.00†,척추의 결핵(M49.0*),Tuberculosis of spine
A18.01†,기타 관절의 결핵성 관절염(M01.1*),Tuberculous arthritis of other joints
A18.02†,기타 뼈의 결핵,Tuberculosis of other bones
A18.08†,기타 관절의 결핵,Tuberculosis of other joints
A18.1,비뇨생식계통의 결핵,Tuberculosis of genitourinary system
A18.10†,신장의 결핵(N29.1*),Tuberculosis of kidney
A18.11†,방광의 결핵(N33.0*),Tuberculosis of bladder
A18.12†,기타 비뇨기관의 결핵,Tuberculosis of other urinary organs
A18.13†,전립선의 결핵(N51.0*),Tuberculosis of prostate
A18.14†,기타 남성생식기관의 결핵(N51.-*),Tuberculosis of other male genital organs
A18.15†,자궁경부의 결핵(N74.0*),Tuberculosis of cervix
A18.16†,결핵성 여성골반염증질환(N74.1*),Tuberculous female pelvic inflammatory disease
A18.17†,기타 여성생식기관의 결핵,Tuberculosis of other female genital organs
A18.18†,요관의 결핵(N29.1*),Tuberculosis of ureter
A18.19,비뇨생식계통의 상세불명 결핵,"Tuberculosis of genitourinary system, unspecified"
A18.2,결핵성 말초림프절병증,Tuberculous peripheral lymphadenopathy
A18.3,"장, 복막 및 장간막 림프절의 결핵","Tuberculosis of intestines, peritoneum and mesenteric glands"
A18.30†,결핵성 복막염(K67.3*),Tuberculous peritonitis
A18.31†,결핵성 장염(K93.0*),Tuberculous enteritis
A18.32†,후복막결핵(K93.0*),Retroperitoneal tuberculosis
A18.4,피부 및 피하조직의 결핵,Tuberculosis of skin and subcutaneous tissue
A18.5,눈의 결핵,Tuberculosis of eye
A18.6,귀의 결핵,Tuberculosis of ear
A18.7†,부신의 결핵(E35.1*),Tuberculosis of adrenal glands
A18.8,기타 명시된 기관의 결핵,Tuberculosis of other specified organs
A18.80†,갑상선의 결핵(E35.0*),Tuberculosis of thyroid gland
A18.81†,기타 내분비선의 결핵(E35.8*),Tuberculosis of other endocrine glands
A18.82†,달리 분류되지 않은 소화기관의 결핵,"Tuberculosis of digestive tract organs, not elsewhere classified"
A18.83†,심장의 결핵,Tuberculosis of heart
A18.84†,비장의 결핵(D77*),Tuberculosis of spleen
A18.88,기타 부위의 결핵,Tuberculosis of other sites
A19,좁쌀결핵,Miliary tuberculosis
A19.0,하나로 명시된 부위의 급성 좁쌀결핵,Acute miliary tuberculosis of a single specified site
A19.1,여러 부위의 급성 좁쌀결핵,Acute miliary tuberculosis of multiple sites
A19.2,상세불명의 급성 좁쌀결핵,"Acute miliary tuberculosis, unspecified"
A19.8,기타 좁쌀결핵,Other miliary tuberculosis
A19.9,상세불명의 좁쌀결핵,"Miliary tuberculosis, unspesified"
A20-A28,특정 동물매개의 세균성 질환,Certain zoonotic bacterial diseases
A20,페스트,Plague
A20.0,림프절형페스트,Bubonic plague
A20.1,연조직피부형페스트,Cellulocutaneous plague
A20.2,폐렴형페스트,Pneumonic plague
A20.3,페스트수막염,Plague meningitis
A20.7,패혈증형페스트,Septicaemic plague
A20.8,기타 형태의 페스트,Other forms of plague
A20.9,상세불명의 페스트,"Plague, unspecified"
A21,야생토끼병,Tularaemia
A21.0,궤양림프절야생토끼병,Ulceroglandular tularaemia
A21.1,눈림프절야생토끼병,Oculoglandular tularaemia
A21.2,폐야생토끼병,Pulmonary tularaemia
A21.3,위장야생토끼병,Gastrointestinal tularaemia
A21.7,전신야생토끼병,Generalized tularaemia
A21.8,기타 형태의 야생토끼병,Other forms of tularaemia
A21.9,상세불명의 야생토끼병,"Tularaemia, unspecified"
A22,탄저병,Anthrax
A22.0,피부탄저병,Cutaneous anthrax
A22.1,폐탄저병,Pulmonary anthrax
A22.2,위장탄저병,Gastrointestinal anthrax
A22.7,탄저병패혈증,Anthrax sepsis
A22.8,기타 형태의 탄저병,Other forms of anthrax
A22.9,상세불명의 탄저병,"Anthrax, unspecified"
A23,브루셀라병,Brucellosis
A23.0,브루셀라 멜리텐시스에 의한 브루셀라병,Brucellosis due to Brucella melitensis
A23.1,브루셀라 아보르투스에 의한 브루셀라병,Brucellosis due to Brucella abortus
A23.2,브루셀라 수이스에 의한 브루셀라병,Brucellosis due to Brucella suis
A23.3,브루셀라 카니스에 의한 브루셀라병,Brucellosis due to Brucella canis
A23.8,기타 브루셀라병,Other brucellosis
A23.9,상세불명의 브루셀라병,"Brucellosis, unspecified"
A24,마비저 및 유사비저,Glanders and Melioidosis
A24.0,마비저,Glanders
A24.1,급성 및 전격성 유사비저,Acute and fulminating melioidosis
A24.2,아급성 및 만성 유사비저,Subacute and chronic melioidosis
A24.3,기타 유사비저,Other melioidosis
A24.4,상세불명의 유사비저,"Melioidosis, unspecified"
A25,쥐물음열,Rat-bite fevers
A25.0,스피릴룸증,Spirillosis
A25.1,연쇄간균증,Streptobacillosis
A25.9,상세불명의 쥐물음열,"Rat-bite fever, unspecified"
A26,유사단독,Erysipeloid
A26.0,피부유사단독,Cutaneous erysipeloid
A26.7,에리시펠로트릭스 패혈증,Erysipelothrix sepsis
A26.8,기타 형태의 유사단독,Other forms of erysipeloid
A26.9,상세불명의 유사단독,"Erysipeloid, unspecified"
A27,렙토스피라병,Leptospirosis
A27.0,황달출혈성 렙토스피라병,Leptospirosis icterohaemorrhagica
A27.8,기타 형태의 렙토스피라병,Other forms of leptospirosis
A27.9,상세불명의 렙토스피라병,"Leptospirosis, unspecified"
A28,달리 분류되지 않은 기타 동물매개의 세균성 질환,"Other zoonotic bacterial diseases, NEC"
A28.0,파스퇴렐라증,Pasteurellosis
A28.1,고양이할큄병,Cat-scratch disease
A28.2,장외예르시니아증,Extraintestinal yersiniosis
A28.8,달리 분류되지 않은 기타 명시된 동물매개의 세균성 질환,"Other specified zoonotic bacterial diseases, NEC"
A28.9,상세불명의 동물매개의 세균성 질환,"Zoonotic bacterial disease, unspecified"
A30-A49,기타 세균성 질환,Other bacterial diseases
A30,나병[한센병],Leprosy[Hansen’s disease]
A30.0,부정나병,Indeterminate leprosy
A30.1,결핵모양나병,Tuberculoid leprosy
A30.2,경계결핵모양나병,Borderline tuberculoid leprosy
A30.3,경계나병,Borderline leprosy
A30.4,경계나병종나병,Borderline lepromatous leprosy
A30.5,나병종나병,Lepromatous leprosy
A30.8,기타 형태의 나병,Other forms of leprosy
A30.9,상세불명의 나병,"Leprosy, unspecified"
A31,기타 형태의 마이코박테리아에 의한 감염,Infection due to other mycobacteria
A31.0,폐마이코박테리아감염,Pulmonary mycobacterial infection
A31.1,피부마이코박테리아감염,Cutaneous mycobacterial infection
A31.8,기타 마이코박테리아감염,Other mycobacterial infections
A31.9,상세불명의 마이코박테리아감염,"Mycobacterial infection, unspecified"
A32,리스테리아증,Listeriosis
A32.0,피부리스테리아증,Cutaneous listeriosis
A32.1†,리스테리아 수막염 및 수막뇌염,Listerial meningitis and meningoencephalitis
A32.7,리스테리아패혈증,Listerial sepsis
A32.8,기타 형태의 리스테리아증,Other forms of listeriosis
A32.9,상세불명의 리스테리아증,"Listeriosis, unspecified"
A33,신생아파상풍,Tetanus neonatorum
A34,산과적 파상풍,Obstetrical tetanus
A35,기타 파상풍,Other tetanus
A36,디프테리아,Diphtheria
A36.0,인두디프테리아,Pharyngeal diphtheria
A36.1,비인두디프테리아,Nasopharyngeal diphtheria
A36.2,후두디프테리아,Laryngeal diphtheria
A36.3,피부디프테리아,Cutaneous diphtheria
A36.8,기타 디프테리아,Other diphtheria
A36.9,상세불명의 디프테리아,"Diphtheria, unspecified"
A37,백일해,Whooping cough
A37.0,보르데텔라 페르투시스에 의한 백일해,Whooping cough due to Bordetella pertussis
A37.1,보르데텔라 파라페르투시스에 의한 백일해,Whooping cough due to Bordetella para- pertussis
A37.8,기타 보르데텔라균에 의한 백일해,Whooping cough due to other Bordetella species
A37.9,상세불명의 백일해,"Whooping cough, unspecified"
A38,성홍열,Scarlet fever
A39,수막구균감염,Meningococcal infection
A39.0†,수막구균수막염(G01*),Meningococcal meningitis
A39.1†,워터하우스-프리데릭센증후군(E35.1*),Waterhouse-Friderichsen syndrome
A39.2,급성 수막구균혈증,Acute meningococcaemia
A39.3,만성 수막구균혈증,Chronic meningococcaemia
A39.4,상세불명의 수막구균혈증,"Meningococcaemia, unspecified"
A39.5†,수막구균성 심장병,Meningococcal heart disease
A39.8,기타 수막구균감염,Other meningococcal infections
A39.9,상세불명의 수막구균감염,"Meningococcal infection, unspecified"
A40,연쇄구균패혈증,Streptococcal sepsis
A40.0,연쇄구균A군에 의한 패혈증,"Sepsis due to streptococcus, group A"
A40.1,연쇄구균B군에 의한 패혈증,"Sepsis due to streptococcus, group B"
A40.2,연쇄구균D군에 의한 패혈증,"Sepsis due to streptococcus, group D"
A40.3,폐렴연쇄구균에 의한 패혈증,Sepsis due to Streptococcus pneumoniae
A40.8,기타 연쇄구균패혈증,Other streptococcal sepsis
A40.9,상세불명의 연쇄구균패혈증,"Streptococcal sepsis, unspecified"
A41,기타 패혈증,Other sepsis
A41.0,황색포도구균에 의한 패혈증,Sepsis due to Staphylococcus aureus
A41.1,기타 명시된 포도구균에 의한 패혈증,Sepsis due to other specified staphylococcus
A41.2,상세불명의 포도구균에 의한 패혈증,Sepsis due to unspecified staphylococcus
A41.3,인플루엔자균에 의한 패혈증,Sepsis due to Haemophilus influenzae
A41.4,무산소균에 의한 패혈증,Sepsis due to anaerobes
A41.5,기타 그람음성균에 의한 패혈증,Sepsis due to other Gram-negative organisms
A41.50,대장균에 의한 패혈증,Sepsis due to Escherichia coli[E. coli]
A41.51,슈도모나스에 의한 패혈증,Sepsis due to Pseudomonas
A41.52,비브리오균에 의한 패혈증,Sepsis due to Vibrio
A41.53,아시네토박터에 의한 패혈증,Sepsis due to acinetobacter baumannii
A41.58,기타 명시된 그람음성균에 의한 패혈증,Sepsis due to other Gram-negative  organisms
A41.59,상세불명의 그람음성균에 의한 패혈증,Sepsis due to unspecified Gram-negative organisms
A41.8,기타 명시된 패혈증,Other specified sepsis
A41.80,장구균에 의한 패혈증,Sepsis due to Enterococcus
A41.88,기타 명시된 패혈증,Other specified sepsis
A41.9,상세불명의 패혈증,"Sepsis, unspecified"
A42,방선균증,Actinomycosis
A42.0,폐방선균증,Pulmonary actinomycosis
A42.1,복부방선균증,Abdominal actinomycosis
A42.2,목얼굴방선균증,Cervicofacial actinomycosis
A42.7,방선균패혈증,Actinomycotic sepsis
A42.8,기타 형태의 방선균증,Other forms of actinomycosis
A42.9,상세불명의 방선균증,"Actinomycosis, unspecified"
A43,노카르디아증,Nocardiosis
A43.0,폐노카르디아증,Pulmonary nocardiosis
A43.1,피부노카르디아증,Cutaneous nocardiosis
A43.8,기타 형태의 노카르디아증,Other forms of nocardiosis
A43.9,상세불명의 노카르디아증,"Nocardiosis, unspecified"
A44,바르토넬라병,Bartonellosis
A44.0,전신바르토넬라병,Systemic bartonellosis
A44.1,피부 및 점막피부 바르토넬라병,Cutaneous and mucocutaneous bartonellosis
A44.8,기타 형태의 바르토넬라병,Other forms of bartonellosis
A44.9,상세불명의 바르토넬라병,"Bartonellosis, unspecified"
A46,단독(丹毒),Erysipelas
A48,달리 분류되지 않은 기타 세균성 질환,"Other bacterial diseases, NEC"
A48.0,가스괴저,Gas gangrene
A48.1,재향군인병,Legionnaires’ disease
A48.2,비폐렴성 재향군인병[폰티액열],Nonpneumonic Legionnaires’ disease [Pontiac fever]
A48.3,독성쇼크증후군,Toxic shock syndrome
A48.4,브라질자반열,Brazilian purpuric fever
A48.8,기타 명시된 세균성 질환,Other specified bacterial diseases
A49,상세불명 부위의 세균감염,Bacterial infection of unspecified site
A49.0,상세불명 부위의 포도구균감염,"Staphylococcal infection, unspecified site"
A49.1,상세불명 부위의 연쇄구균 및 장내구균 감염,"Streptococcal and enterococcal infection, unspecified site"
A49.2,상세불명 부위의 인플루엔자균감염,"Haemophilus influenzae infection, unspecified site"
A49.3,상세불명 부위의 마이코플라스마감염,"Mycoplasma infection, unspecified site"
A49.8,상세불명 부위의 기타 세균감염,Other bacterial infections of unspecified site
A49.9,상세불명의 세균감염,"Bacterial infection, unspecified"
A50-A64,주로 성행위로 전파되는 감염,Infections with a predominantly sexual mode of transmission
A50,선천매독,Congenital syphilis
A50.0,증상성 조기선천매독,"Early congenital syphilis, symptomatic"
A50.1,잠복성 조기선천매독,"Early congenital syphilis, latent"
A50.2,상세불명의 조기선천매독,"Early congenital syphilis, unspecified"
A50.3,만기 선천매독성 눈병증,Late congenital syphilitic oculopathy
A50.4,만기 선천성 신경매독[연소성 신경매독],Late congenital neurosyphilis [juvenile neurosy- philis]
A50.5,기타 증상성 만기선천매독,"Other late congenital syphilis, symptomatic"
A50.6,잠복성 만기선천매독,"Late congenital syphilis, latent"
A50.7,상세불명의 만기선천매독,"Late congenital syphilis, unspecified"
A50.9,상세불명의 선천매독,"Congenital syphilis, unspecified"
